Кат. номер;Бренд;Цена.;склад;магаз;Модель
86561-2R500;MOBIS;398.00;1;;I30 (CZECH)
76004-F1000;MOBIS;9718.00;1;;SPG 15~
98620-2G500;MOBIS;217.00;1;;MGN III
92202-2C500;MOBIS;1112.00;1;;COUPE  05~
98610-1G101;MOBIS;361.00;1;;RIO 3 5DR
66400-1J500;MOBIS;4944.00;4;;i20NEW (12~)
41605-2S000;MOBIS;2434.00;1;1;SPG 10~
98610-07100;MOBIS;522.00;2;;PICANTO
92202-1C500;MOBIS;492.00;2;;GETZ (05~)
77004-F1000;MOBIS;9327.00;1;;SPG 15~
49500-2H011_REB;REBILD;2244.00;2;;ELNT (07~) 1.6i
21810-4H200;MOBIS;595.00;2;;H-1 NEW (08~) 2.5D
98620-2F500;MOBIS;135.00;4;;CERATO 4DR (07~)
71511-5K001;MOBIS;3293.00;1;;HD65/72 (10~)
57724-07000_AN;ANAM;150.00;2;1;PICANTO (~08)
49500-2H111_KGC;KGC;2130.00;2;;ELNT (07~) 2.0i
81130-10000;MOBIS;222.00;1;1;MATRIX (09~)
98620-1F001;MOBIS;208.00;3;;SPG NEW
92202-1E000;MOBIS;765.00;6;2;VRN NEW
49500-2B610;MOBIS;6424.00;1;1;STF NEW 2.2TD
81130-2H000;MOBIS;168.00;2;;ELNT (07~)
21811-6A700;MOBIS;1205.00;1;;HD120
81130-2L000;MOBIS;304.00;1;;I30
98610-1F101;MOBIS;695.00;1;;SPG NEW
CEKH9;CTR;206.00;1;4;H-1/H-100
81130-2B200;MOBIS;406.00;1;;CM 10
86560-3X200;MOBIS;2319.00;1;;ELANTRA (11~)
81130-3S000;MOBIS;386.00;1;;SONATA YF
0K2AC-69-120XX;MOBIS;834.00;2;;SE2/SHM
SA045;HI-Q;389.00;1;1;K2700
86561-2S300;MOBIS;1674.00;1;;IX35
0K30C-11-500A;MOBIS;1803.00;1;;RIO
26300-02751_NG;CARSTATION;64.00;10;10;i 10 1.1i/1.2i
0K241-50-692AXX;MOBIS;214.00;1;;SE
81130-4A010;MOBIS;180.00;2;;H-1 (03~)
87370-3C211XX;MOBIS;1367.00;2;;MGN 2
0K2BA-50-220BXX;MOBIS;3938.00;1;;SHM
86561-2W000;MOBIS;302.00;1;;SANTA FE (13~)
0K2A3-18-16/18X_OEM;OEM;114.00;2;;SE2 1.5 DOHC/SH
D300231190;DOOWON;1689.00;3;;RIO 3
CRKK28R;CTR;228.00;1;2;RIO 3
26320-2A001_NC;NEOCAR;99.00;10;9;GETZ 1.5 diz/MATRIX 1.5TD/CRT (06~) 1.6TD/VRN NEW 1.5CI/VRN NEW 1.5TCI
81161-3K000;MOBIS;256.00;4;;NF
86560-3X710;MOBIS;2260.00;2;;ELANTRA (14~)
81130-1J510;MOBIS;338.00;2;;i20NEW (12~)
81160-2B000;MOBIS;307.00;5;;STF NEW/CM 10
86110-1M000;MOBIS;4887.00;2;;
21830-17250;MOBIS;353.00;1;;MATRIX 1.8
DFKK25;DOOHAP;533.00;2;1;SPG
21830-17150;MOBIS;493.00;1;;MATRIX 1.6
46517-39000;MOBIS;523.00;10;9;HYUNDAI
86522-3J020;MOBIS;870.00;2;;
81230-25000;MOBIS;103.00;1;;VRN
0K011-32-260A;MOBIS;1151.00;1;;SPG
86522-1E000;MOBIS;430.00;1;;VRN NEW
81230-3D010;MOBIS;1106.00;2;;SNT5
81230-3K001;MOBIS;754.00;2;;NF
81771-3D002;MOBIS;271.00;4;;SNT5
21830-2E100;MOBIS;661.00;1;;TUCS 2.0i (ATA/2WD)
86110-3E000;MOBIS;5312.00;3;;SRT
81771-3K001;MOBIS;266.00;2;;NF
83830-2F200;MOBIS;170.00;1;;CRT 5DR
81771-3L000;MOBIS;193.00;2;;GRANDEUR
21830-1R200;MOBIS;1593.00;1;;VELOSTER
83660-2D500;MOBIS;299.00;1;;XD
81230-2L000;MOBIS;520.00;1;;I30 5DR
54300-4A700;MOBIS;962.00;2;;H-1 (04~)
97606-2F000_NG;NG;1140.00;1;;CERATO
54310-4A110;MOBIS;885.00;2;;H-1 (STAREX)
21930-2H000;MOBIS;545.00;2;;ELNT (07~) 1.6i
83840-2F200;MOBIS;170.00;1;;CRT 5DR
54611-3K130;MOBIS;1465.00;2;;NF 2.0/2.4i
21930-2B500;MOBIS;3096.00;3;;STF NEW 2.7i
83840-2K000WK;MOBIS;371.00;1;;SOUL
54611-3K140;MOBIS;1679.00;3;;NF 3.3
21950-2Y700;MOBIS;2566.00;1;;IX35 (14~) 2.0i
0K240-15-025_NG;NG;834.00;1;;SE1
54300-4A600;MOBIS;726.00;1;;H-1 (03~)
82650-3C000;MOBIS;505.00;1;;SNT5/MGN
PH54502-26000;PH(POS);1081.00;2;;STF
54611-3K770;MOBIS;1795.00;10;1;NF (08~)
92104-3D020;MOBIS;3475.00;2;;SNT5
66400-2B030;MOBIS;7506.00;3;;
0K9A0-52-310;MOBIS;3141.00;1;;CLR1
66400-0P010;MOBIS;5011.00;1;;
92107-4A020;MOBIS;2543.00;1;;H-1 (~00)
92104-4A510;MOBIS;1840.00;2;;H-1 (00~)
21830-2W100;MOBIS;3204.00;1;;STF (13~) 2.4i
92120-1C010;MOBIS;2007.00;2;;GETZ
82650-4A300;MOBIS;395.00;1;;H-1 (02~)
66400-3E310;MOBIS;4273.00;3;;SRT
66400-2Y000;MOBIS;2780.00;1;;
92120-25533;MOBIS;2265.00;1;;VRN  (08/02-08/03)
31400-2F000;MOBIS;4666.00;1;;IX35 /10--*/, Santa Fe  /10--*/
21930-28001_OEM;OEM;275.00;1;;LNT 1.5/LNT 1.6
95447-3B300;MOBIS;4685.00;1;;IX35 /10--*/
21830-1J300;MOBIS;1325.00;1;;i20NEW (12~) 1.4i
82650-0X050;MOBIS;270.00;1;1;i 10
92104-2D520;MOBIS;2502.00;2;;XD (03~)
21930-1C130_OEM;OEM;476.00;1;;GETZ  1.3/1.6
0K72A-52-310;MOBIS;1946.00;1;;PRG (~04)
92104-17030;MOBIS;1512.00;1;;MATRIX
49500-2C710;MOBIS;5232.00;1;;COUPE  07~ 2.0
49500-2D513;MOBIS;5582.00;1;;XD 2.0
66400-4A400;MOBIS;3058.00;1;;H-1 (~00)
49500-1C362;MOBIS;6010.00;1;;GETZ (06~) 1.4/1.6
58411-3L000;MOBIS;1199.00;4;;GRANDEUR
66400-4A562;MOBIS;5004.00;1;;H-1 (02~)
49500-1E151;MOBIS;3336.00;2;;VRN NEW 1.4/1.6
36100-2G000_REB;REBUILT;1495.00;3;;NF 2.4/MGN III 2.0i/CRN III 2.0i
55326-27000;MOBIS;134.00;5;;COUPE ~01/AVT
49500-3K860;MOBIS;5282.00;1;;NF 2.4 (08~)
55326-17000;MOBIS;218.00;6;;MATRIX
49501-3X100;MOBIS;6475.00;4;;ELANTRA (11~) 1.6/1.8i
49100-4A901;MOBIS;7138.00;1;;H-1 (STAREX)
21930-25010_OEM;OEM;287.00;1;;VRN
HC97606-2W501;HALLA(HANON);2618.00;1;;STF (13~) 2.4i
49300-2E000;MOBIS;12204.00;3;;TUCS/SPG NEW
49300-26003;MOBIS;11933.00;1;;STF 2,0/2.4
55326-1E000;MOBIS;227.00;5;> 10;VRN NEW
EX54611-38701;MANDO;1029.00;1;2;SNT EF/MGN
49100-4A510;MOBIS;6546.00;1;;H-1 (STAREX)
55348-2H000;MOBIS;257.00;2;2;ELANTRA (07~)
54813-3X001;MOBIS;61.00;4;10;SOLARIS/RIO NEW (12~)
EX54611-3K050;MANDO;806.00;6;4;NF 2.0/2.4i
55348-2L000;MOBIS;250.00;5;4;I30/CEED
92101-2B020;MOBIS;3753.00;4;;STF NEW
92201-2C700;MOBIS;1001.00;2;;COUPE  07~
92101-2C522;MOBIS;5030.00;1;;COUPE  06-07
21930-35000;MOBIS;446.00;1;;SNT3
92201-4H000;MOBIS;800.00;2;1;H-1 NEW (08~)
92101-1E088;MOBIS;3470.00;3;;VRN NEW
49500-25310;MOBIS;4221.00;2;;VRN 1.3/1.5/1.6
87735-3A000;MOBIS;331.00;2;;TRAJET
92201-2Y000;MOBIS;1038.00;7;;IX35
92101-4A610;MOBIS;3591.00;1;;H-1 (03~)
49500-38491;MOBIS;4448.00;1;;EF 2.0 (~02/01)/MGN 2.0 (~02/01)
29130-1C000;MOBIS;342.00;1;;GETZ
92101-3L320;MOBIS;6799.00;1;;GRANDEUR
49500-38492;MOBIS;3529.00;1;;EF 2.0 (02/01-03/08)/MGN 2.0 (02/01-03/08)
92101-17630;MOBIS;2377.00;2;;MATRIX (05~)
57150-1G000;MOBIS;542.00;1;;RIO 3/VRN NEW
21830-2S100;MOBIS;3486.00;1;;IX 35 2.0i/SPG (SLOV) 10~ 2.0i
29130-2E501;MOBIS;130.00;2;1;TUCS 2.0i
92101-10010;MOBIS;4317.00;2;;MATRIX (09~)
21811-4A450;MOBIS;534.00;2;;H-1 2.5TD
29130-1E000;MOBIS;74.00;2;;VRN NEW
92101-3K520;MOBIS;4309.00;9;;NF (08~)
66400-07021;MOBIS;3846.00;2;;PICANTO
49500-1C260;MOBIS;4064.00;2;;GETZ  1.3/1.6
29130-3K300;MOBIS;281.00;2;;NF 3.3/GRANDEUR
92101-1C511;MOBIS;2876.00;3;;GETZ (07~)
29110-2H000;MOBIS;132.00;1;;CEED 1.4/1.6/ELANTRA (07~)
92201-0X100;MOBIS;1229.00;1;;i 10 (11~)
92101-2B021;MOBIS;5020.00;1;;STF NEW(08~)
66400-1D010;MOBIS;4386.00;3;;CRN III
29120-2H050;MOBIS;65.00;1;;ELANTRA (07~)/CEED/I30
92201-1R000;MOBIS;973.00;10;;SOLARIS
92101-0X020;MOBIS;2582.00;3;;i 10
49500-2D012;MOBIS;5061.00;1;;XD 1.6
29130-2B000;MOBIS;211.00;1;;STF NEW
92101-4H020;MOBIS;5243.00;3;;H-1 (08~)
66400-07510;MOBIS;3211.00;2;;PICANTO (08~)
49500-2D412;MOBIS;6707.00;2;;XD 2.0
92101-2L020;MOBIS;3612.00;3;;I30 (~08)
87722-2D200CA;MOBIS;238.00;1;;XD
92101-2H020;MOBIS;2650.00;3;;ELANTRA (07~)
49500-3K060;MOBIS;5465.00;2;;NF 2.0/2.4
66400-2G010;MOBIS;6346.00;1;;MGN III
0K2S2-50-710;MOBIS;556.00;2;;SHM
87732-1C000CA;MOBIS;206.00;1;;GETZ 5DR
92201-5H000;MOBIS;956.00;1;;HD65/72 (10~)
92101-2E022;MOBIS;3322.00;4;;TUCS (08~)
49500-2D013;MOBIS;5182.00;2;;XD 1.6 (05~)
86350-3E001;MOBIS;1895.00;1;;SRT
87722-3K020;MOBIS;32.00;2;;NF
92201-2V000;MOBIS;728.00;1;;VELOSTER
92101-2L120;MOBIS;3928.00;2;;I30 (08~)
87732-25000CA;MOBIS;274.00;1;;VRN 4/5 DR
92201-A6010;MOBIS;2496.00;1;;I30 (12~)
49500-1C262;MOBIS;2151.00;1;;GETZ (06~) 1.4/1.6
66400-2K010;MOBIS;4328.00;1;;SOUL
86350-2F010;MOBIS;251.00;2;;CERATO
87732-25500CA;MOBIS;111.00;1;;VRN  02~ 4DR/5DR
49500-26161;MOBIS;4162.00;1;;STF 2,0i
0K30E-50-710;MOBIS;396.00;1;;RIO
87780-2B000;MOBIS;741.00;1;;STF NEW
87732-1E000;MOBIS;250.00;4;;VRN NEW 4DR
92101-2Y000;MOBIS;5298.00;1;;IX35
86350-FD020;MOBIS;834.00;1;;RIO 2
87722-3K500;MOBIS;175.00;2;;NF (08~)
92101-2R000;MOBIS;4657.00;2;;I30 (CZECH)
86350-FD000;MOBIS;1052.00;1;;RIO 2
92101-0X120;MOBIS;3163.00;1;;i 10 (11~)
87732-0X000;MOBIS;281.00;3;;i 10
92101-1C515;MOBIS;2967.00;1;;GETZ 5DR (09~)
58302-F2A30;MOBIS;1372.00;2;;ELANTRA 16~
92101-3S060;MOBIS;7524.00;2;;YF
82660-0X050;MOBIS;307.00;1;;i 10
66400-1Y010;MOBIS;3233.00;1;;PICANTO (12~)
58411-22100;MOBIS;779.00;1;;ACT 96-
92101-3X020;MOBIS;5071.00;5;;ELANTRA (11~)
66400-A2000;MOBIS;8379.00;4;;CEED (12~18)
82660-34010;MOBIS;294.00;1;;SNT2,3
66400-2F010;MOBIS;4865.00;9;;CERATO
92101-2S020;MOBIS;3627.00;3;;IX35
66400-A7000;MOBIS;5711.00;1;;K3
87732-1E001;MOBIS;332.00;2;;VRN NEW 4DR (09~)
66400-A4000;MOBIS;6176.00;1;;CARENS (13~)
54626-29100;MOBIS;167.00;10;6;AVT/CERATO/VRN NEW
92101-2E020;MOBIS;4847.00;1;;TUCS (~08)
82660-2D000;MOBIS;566.00;1;;XD
66400-B2000;MOBIS;12296.00;1;;SOUL (14~)
71575-1R100;MOBIS;1048.00;1;1;SOLARIS 4DR
0K01F-52-310;MOBIS;4170.00;1;;
71585-1R100;MOBIS;1019.00;1;;SOLARIS 4DR
92101-A6000;MOBIS;10858.00;2;;I30 (12~)
92101-2H021;MOBIS;2910.00;1;;ELANTRA (10~)
0K7AA-52-310;MOBIS;2780.00;1;;
92101-4L500;MOBIS;11565.00;5;;SOLARIS (13~)
92101-3X210;MOBIS;5838.00;2;;ELANTRA (14~)
71322-1RD00;MOBIS;6742.00;2;;SOLARIS 4DR
66400-3C300;MOBIS;5282.00;2;;MGN
92101-4L600;MOBIS;6979.00;1;;SOLARIS (14~)
0K2SA-52-310A;MOBIS;2641.00;1;;SHM2
92101-4L700;MOBIS;8896.00;2;;SOLARIS (14~)
0K2JB-52-310;MOBIS;2641.00;1;;CRN 2
92101-3X420;MOBIS;11358.00;3;;ELANTRA (14~)
92101-2S620;MOBIS;22938.00;1;;IX35 (14~)
76003-F1000;MOBIS;9718.00;1;;SPG 15~
58411-25010;MOBIS;782.00;4;;VRN
92102-1J010;MOBIS;2800.00;1;;i 20
92102-2B120;MOBIS;16200.00;1;;CM 10
92403-1M530;MOBIS;5644.00;1;;CERATO NEW 11~ 2DR
92102-2W125;MOBIS;15290.00;1;;SANTA FE (13~)
49100-3E300;MOBIS;6072.00;1;;SRT 2.5TD (D4CB)
92102-2Y620;MOBIS;21168.00;1;;IX35 (14~)
92102-2C551;MOBIS;4773.00;1;;COUPE  05~
92102-2W126;MOBIS;15429.00;2;;SANTA FE (13~)
58411-4H000;MOBIS;1741.00;2;;H-1 NEW (08~)
92102-2C051;MOBIS;4215.00;1;;COUPE  01~
58329-4A200;MOBIS;1677.00;2;;H-1 (STAREX)
49300-3W000;MOBIS;9740.00;1;;SPG (SLOV) 10~/IX35
87734-3A000;MOBIS;105.00;1;;TRAJET
49300-2P100;MOBIS;11983.00;1;;SRT NEW  (09~)
92403-4X000;MOBIS;2622.00;1;;RIO NEW (12~) 4DR
S97133-2E200;MOBIS;139.00;10;7;
87736-3A000;MOBIS;255.00;1;;TRJ
92405-2P540;MOBIS;2730.00;2;;SRT NEW  (13~)
58411-0U000;MOBIS;1779.00;2;;SOLARIS
49501-3X200;MOBIS;8289.00;1;;ELANTRA (11~) 1.8i
81770-2J000_SJ;SANGJIN;255.00;1;;MOHAVE
92102-22300;MOBIS;2048.00;2;;ACT 4,5 DR 97-
92405-2P600;MOBIS;3163.00;2;;SRT NEW  (13~)
86620-25600;MOBIS;314.00;2;;VRN  02~ 4DR
92403-A7020;MOBIS;1715.00;1;1;K3
24450-2Y000;MOBIS;380.00;2;2;SE 1.8/CLR 1.8
49501-26561;MOBIS;6078.00;1;;STF 2.0 TD/STF 2.7
92102-34500;MOBIS;2363.00;1;;SNT3
87311-2B000;MOBIS;425.00;1;;STF NEW
92403-A7320;MOBIS;7142.00;1;;K3
26901-93400;MOBIS;487.00;5;4;HD120
87311-2B500;MOBIS;488.00;1;;CM 10
HC25310-1M000;HALLA(HANON);1792.00;2;;CERATO NEW 09~ 1.6/2.0
49500-2L110;MOBIS;5063.00;1;;I30 2.0i
81770-3W000_SJ;SANGJIN;253.00;1;;SPG (SLOV) 10~
55250-2G001_YL;YULIM;323.00;8;;MGN III
86620-26900;MOBIS;572.00;2;;STF (~08/04)
87312-3J000;MOBIS;399.00;1;;IX55 (09~)
92403-A4120;MOBIS;7868.00;1;;CARENS (13~)
49500-3J100;MOBIS;6756.00;1;;VERACRUZ 3.8i
87372-2E000;MOBIS;61.00;1;;TUCS
92405-F1100;MOBIS;5125.00;1;;SPG 15~
49501-3S271;MOBIS;10925.00;1;;SONATA YF 2.4i
86620-2C020;MOBIS;428.00;1;;COUPE  01~
87372-2E010;MOBIS;401.00;2;;TUCS
23040-22010_OEM;KPR;841.00;1;;ACT 1.5 SOHC
28263-2F451;MOBIS;2068.00;1;1;IX 35 2.0TD
49501-3S251;MOBIS;12454.00;2;;OPTIMA 11
92102-4A000;MOBIS;1941.00;2;;H-1 (~00)
86620-17000;MOBIS;411.00;1;;MATRIX
87372-2E510;MOBIS;264.00;3;;TUCS (08~)
86620-2D600;MOBIS;509.00;2;;XD 4DR (03~)
92102-43800;MOBIS;1826.00;2;;H-100 96~
23040-42510_YPR;YPR;2269.00;1;;H-1 (D4BH)
92430-A7020;MOBIS;1644.00;2;;K3
24450-3Y100;MOBIS;508.00;1;;CNV 2.5i
87310-1C000;MOBIS;206.00;1;;GETZ
92430-A7320;MOBIS;6721.00;1;;K3
87310-17000;MOBIS;427.00;1;;MATRIX
38145-8Y000;MOBIS;1024.00;2;;HD120
24450-3Y200;MOBIS;464.00;1;;CNV 2.5i
26320-2A002;MOBIS;125.00;10;7;GETZ 1.5 diz/MATRIX 1.5TD/CRT (06~) 1.6TD/VRN NEW 1.5TCI/VRN NEW 1.5TCI
86620-2C710;MOBIS;1039.00;1;;COUPE  07~
HC25310-2K010;HALLA(HANON);1439.00;1;;
86620-2L000;MOBIS;458.00;3;;I30 5DR
86620-2L300;MOBIS;417.00;1;;I30 WGN
87311-4H000;MOBIS;256.00;2;;H-1 NEW (08~)
28210-22052;MOBIS;348.00;1;;ACT
86620-3L200;MOBIS;713.00;1;;GRANDEUR
87310-4A700;MOBIS;843.00;2;;H-1 (04~06)
92102-3L410;MOBIS;20237.00;2;;GRANDEUR
IJ212001;ILJIN;2231.00;6;;H-1 NEW (08~)
28211-2D000;MOBIS;182.00;1;;XD
92102-4A500;MOBIS;1390.00;1;;H-1 (00~)
87310-1C500;MOBIS;261.00;2;;GETZ (06~)
28210-2F000;MOBIS;1006.00;3;;XD/CERATO
86620-3J010;MOBIS;436.00;1;;VERACRUZ
92102-3S130;MOBIS;9587.00;2;;SONATA YF
28210-2H500;MOBIS;483.00;2;;ELANTRA (07~)
86620-3K500;MOBIS;723.00;2;;NF (08~)
92102-5H001;MOBIS;2631.00;2;;HD65/72
86620-10000;MOBIS;512.00;1;;MATRIX (09~)
MWP1007;MANDO;567.00;1;;EF 2.0/MGN 2.0 DOHC
28210-26200;MOBIS;317.00;1;;STF
86620-17010;MOBIS;602.00;2;;MATRIX
87371-2Q000;MOBIS;473.00;1;;ELANTRA (09~)
25124-37110;MOBIS;57.00;1;;
92102-3J000;MOBIS;4923.00;1;;VERACRUZ (UKR)
87317-2Q000;MOBIS;633.00;1;;ELANTRA (09~)
H301130170;DOOWON;1079.00;2;;SPG(01~)
SH52773-2G000;SHIN HWA;57.00;6;5;MGN III/ELANTRA (07~)/CRN III
28210-2B100;MOBIS;761.00;2;;STF NEW 2.7i
21930-26300;MOBIS;1257.00;1;;STF 2,0/2.4
86620-2B700;MOBIS;395.00;1;;CM 10
28213-2B000;MOBIS;812.00;1;;STF NEW 2.7i
92102-3S010;MOBIS;3883.00;1;;SONATA YF
86510-29510;MOBIS;3209.00;1;;AVT 98-
28213-2B200;MOBIS;167.00;2;1;STF NEW 2.2TD
41200-24720;MOBIS;4353.00;2;;TUCS 2.0TD/CRN III 2.0TD/MGN III 2.0td
92202-1M000;MOBIS;584.00;8;;CERATO NEW 09~ 4DR
86510-29010;MOBIS;2598.00;1;;AVT -98
21930-1C130;MOBIS;566.00;3;2;GETZ  1.3/1.6
92102-5K001;MOBIS;2819.00;1;;HD65/72 (10~)
92202-1M310;MOBIS;1080.00;1;;CERATO NEW 09~ 2DR
86510-1J000;MOBIS;2017.00;2;;i 20
SP1079F;SANGSIN;321.00;4;1;CLR
41200-49930;MOBIS;12694.00;3;1;H-1 2.5(08~)
92102-1R030;MOBIS;3872.00;1;;SOLARIS
0KW01-18-381_DON;DONGIL;158.00;1;1;SPG 2.2/BST 2.2
86510-1J010;MOBIS;2931.00;1;;i 20
41200-38250;MOBIS;6778.00;4;;STF NEW 2.2TD
92202-2P000;MOBIS;834.00;1;;SRT NEW  (09~)
37360-2B100;MOBIS;1299.00;2;;ELNT (07~) 1.6i
92202-1G600;MOBIS;695.00;3;;RIO 3(10~)
86510-26900;MOBIS;2363.00;2;;STF
21930-38100;MOBIS;794.00;1;;EF 2.0 (~02/01)
41200-24420;MOBIS;7523.00;1;;IX35 (14~) 2.0D (2WD)
86511-1C100;MOBIS;1831.00;2;;GETZ
92202-3W100;MOBIS;670.00;1;;SPG (SLOV) 10~
86511-25610;MOBIS;2430.00;1;;VRN  02~
41200-38200;MOBIS;7228.00;2;;
29240-23660;MOBIS;1084.00;1;;MATRIX
86510-3A020;MOBIS;2902.00;2;;TRJ
86520-26900;MOBIS;389.00;1;;STF
29240-3E450;MOBIS;1088.00;1;;STF NEW 2.7i
92102-2H010;MOBIS;4467.00;1;;ELANTRA (07~)
92202-2T010;MOBIS;1350.00;2;;OPTIMA 11
86520-1J000;MOBIS;878.00;2;;i 20
29240-2A400;MOBIS;1441.00;1;;VRN NEW 1.5TCI
92208-2T100;MOBIS;8473.00;2;;OPTIMA 11
92120-25020;MOBIS;1390.00;1;;VRN
86520-2C000;MOBIS;624.00;1;;COUPE  01~
SP1196;SANGSIN;465.00;10;5;CRN III
29240-2F000;MOBIS;2172.00;1;;IX 35 2.0TD/SPG NEW 2.0TD
92202-4X000;MOBIS;1578.00;1;;RIO NEW (12~) 4DR
92202-1Y000;MOBIS;667.00;1;;PICANTO (12~) 5DR
86520-3A010;MOBIS;730.00;1;;TRAJET
41421-39000;MOBIS;557.00;2;2;AVT 1.8/STF/EF/XG
SP1177;SANGSIN;631.00;1;;CARNIVAL(00~03)
56820-3V490;MOBIS;337.00;2;1;AZERA
86520-3K000;MOBIS;479.00;2;;NF
86520-2C500;MOBIS;462.00;1;1;COUPE  05~
46512-39700;MOBIS;146.00;10;1;STF NEW 2.2TD
92202-A4020;MOBIS;1885.00;1;;CARENS (13~)
86520-2B010;MOBIS;272.00;1;;STF NEW
86520-1E000;MOBIS;490.00;1;;VRN NEW
86520-1C300;MOBIS;524.00;1;;GETZ (05~)
86520-4A400;MOBIS;331.00;1;;H-1 (03~)
86520-39510;MOBIS;1051.00;1;;XG 03~
92202-2F300;MOBIS;445.00;1;1;CERATO 4DR (07~)
41411-55800;MOBIS;2496.00;1;1;HD120
92101-F2100;MOBIS;15263.00;1;;ELANTRA 16~
29240-23680;MOBIS;1753.00;1;;TUCS 2.0i
QH160-2130866;MOBIS;2279.00;1;;HD65/72
92102-F2100;MOBIS;18264.00;1;;ELANTRA 16~
58101-A6A01;MOBIS;1560.00;1;;I30 (12~)
98510-3K010;MOBIS;220.00;8;2;NF
92401-F2110;MOBIS;10325.00;1;;ELANTRA 16~
92402-F2110;MOBIS;10561.00;1;;ELANTRA 16~
92403-F2110;MOBIS;6789.00;1;;ELANTRA 16~
98370-5H200;MOBIS;229.00;2;2;HD65/72
92404-F2110;MOBIS;7021.00;1;;ELANTRA 16~
98510-3L000;MOBIS;295.00;5;1;GRANDEUR
98620-F2100;MOBIS;538.00;1;;ELANTRA 16~
81193-3D000;MOBIS;53.00;2;;SNT5
25310-F2100;MOBIS;5635.00;2;;ELANTRA 16~  1,6i
98510-2J000;MOBIS;417.00;3;;MOHAVE
81193-17000;MOBIS;33.00;1;;MATRIX
98510-2S100;MOBIS;334.00;4;;IX35/SPG (SLOV) 10~/PICANTO (12~) 5DR
82652-2H000;MOBIS;66.00;3;1;I30
92401-2F310;MOBIS;2002.00;1;;CERATO 4DR (07~)
98510-2M500;MOBIS;223.00;1;3;ELANTRA (14~)/H-1(08~)
25350-F2000;MOBIS;1250.00;1;;ELANTRA 16~ 1.6i
92401-1D011;MOBIS;2543.00;3;;CRN III
92401-1H000;MOBIS;1904.00;1;;CEED 5DR
